frame,TP,FP,FN,precision,recall,mota
1,4,0,0,1.0,1.0,1.0
2,4,0,0,1.0,1.0,1.0
3,4,0,0,1.0,1.0,1.0
4,4,0,0,1.0,1.0,1.0
5,4,0,0,1.0,1.0,1.0
6,4,0,0,1.0,1.0,1.0
7,4,0,0,1.0,1.0,1.0
8,4,0,0,1.0,1.0,1.0
9,4,0,0,1.0,1.0,1.0
10,4,0,0,1.0,1.0,1.0
11,4,0,0,1.0,1.0,1.0
12,4,0,0,1.0,1.0,1.0
13,4,0,0,1.0,1.0,1.0
14,4,0,0,1.0,1.0,1.0
15,4,0,0,1.0,1.0,1.0
16,4,0,0,1.0,1.0,1.0
17,4,0,0,1.0,1.0,1.0
18,4,0,0,1.0,1.0,1.0
19,4,0,0,1.0,1.0,1.0
20,4,0,0,1.0,1.0,1.0
21,4,0,0,1.0,1.0,1.0
22,4,0,0,1.0,1.0,1.0
23,4,0,0,1.0,1.0,1.0
24,4,0,0,1.0,1.0,1.0
25,4,0,0,1.0,1.0,1.0
26,4,0,0,1.0,1.0,1.0
27,4,0,0,1.0,1.0,1.0
28,4,0,0,1.0,1.0,1.0
29,4,0,0,1.0,1.0,1.0
30,4,0,0,1.0,1.0,1.0
31,4,0,0,1.0,1.0,1.0
32,4,0,0,1.0,1.0,1.0
33,4,0,0,1.0,1.0,1.0
34,4,0,0,1.0,1.0,1.0
35,4,0,0,1.0,1.0,1.0
36,4,1,0,0.8,1.0,0.75
37,4,1,0,0.8,1.0,0.75
38,4,1,0,0.8,1.0,0.75
39,5,0,0,1.0,1.0,1.0
40,5,0,0,1.0,1.0,1.0
41,5,0,0,1.0,1.0,1.0
42,5,0,0,1.0,1.0,1.0
43,5,0,0,1.0,1.0,1.0
44,5,0,0,1.0,1.0,1.0
45,5,0,0,1.0,1.0,1.0
46,5,0,0,1.0,1.0,1.0
47,5,0,0,1.0,1.0,1.0
48,5,0,0,1.0,1.0,1.0
49,5,0,0,1.0,1.0,1.0
50,5,0,0,1.0,1.0,1.0
51,5,0,0,1.0,1.0,1.0
52,5,0,0,1.0,1.0,1.0
53,4,1,0,0.8,1.0,0.75
54,4,1,0,0.8,1.0,0.75
55,4,1,0,0.8,1.0,0.75
56,4,0,0,1.0,1.0,1.0
57,4,0,0,1.0,1.0,1.0
58,4,1,0,0.8,1.0,0.75
59,4,1,0,0.8,1.0,0.75
60,4,1,0,0.8,1.0,0.75
61,3,2,0,0.6,1.0,0.33333333333333337
62,3,2,0,0.6,1.0,0.33333333333333337
63,3,2,0,0.6,1.0,0.33333333333333337
64,4,1,0,0.8,1.0,0.75
65,4,0,0,1.0,1.0,1.0
66,4,0,0,1.0,1.0,1.0
67,4,0,0,1.0,1.0,1.0
68,4,0,0,1.0,1.0,1.0
69,4,0,0,1.0,1.0,1.0
70,4,0,0,1.0,1.0,1.0
71,4,0,0,1.0,1.0,1.0
72,4,0,0,1.0,1.0,1.0
73,4,0,0,1.0,1.0,1.0
74,4,0,0,1.0,1.0,1.0
75,4,0,0,1.0,1.0,1.0
76,4,0,0,1.0,1.0,1.0
77,3,1,0,0.75,1.0,0.6666666666666667
78,3,1,0,0.75,1.0,0.6666666666666667
79,3,2,0,0.6,1.0,0.33333333333333337
80,3,2,0,0.6,1.0,0.33333333333333337
81,3,2,0,0.6,1.0,0.33333333333333337
82,3,1,0,0.75,1.0,0.6666666666666667
83,3,1,0,0.75,1.0,0.6666666666666667
84,3,1,0,0.75,1.0,0.6666666666666667
85,3,0,0,1.0,1.0,1.0
86,3,1,0,0.75,1.0,0.6666666666666667
87,3,1,0,0.75,1.0,0.6666666666666667
88,3,1,0,0.75,1.0,0.6666666666666667
89,3,1,0,0.75,1.0,0.6666666666666667
90,3,1,0,0.75,1.0,0.6666666666666667
91,3,1,0,0.75,1.0,0.6666666666666667
92,3,1,0,0.75,1.0,0.6666666666666667
93,3,1,0,0.75,1.0,0.6666666666666667
94,3,1,0,0.75,1.0,0.6666666666666667
95,3,0,0,1.0,1.0,1.0
96,3,0,0,1.0,1.0,1.0
97,3,0,0,1.0,1.0,1.0
98,3,0,0,1.0,1.0,1.0
99,3,0,0,1.0,1.0,1.0
100,3,0,0,1.0,1.0,1.0
101,3,0,0,1.0,1.0,1.0
102,3,0,0,1.0,1.0,1.0
103,3,0,0,1.0,1.0,1.0
104,3,0,0,1.0,1.0,1.0
105,3,0,0,1.0,1.0,1.0
106,3,0,0,1.0,1.0,1.0
107,3,0,0,1.0,1.0,1.0
108,3,0,0,1.0,1.0,1.0
109,3,0,0,1.0,1.0,1.0
110,3,0,0,1.0,1.0,1.0
111,3,0,0,1.0,1.0,1.0
112,3,0,0,1.0,1.0,1.0
113,2,0,1,1.0,0.6666666666666666,0.6666666666666667
114,3,0,0,1.0,1.0,1.0
115,2,0,1,1.0,0.6666666666666666,0.6666666666666667
116,2,0,1,1.0,0.6666666666666666,0.6666666666666667
117,2,0,1,1.0,0.6666666666666666,0.6666666666666667
118,2,0,1,1.0,0.6666666666666666,0.6666666666666667
119,3,0,0,1.0,1.0,1.0
120,3,0,0,1.0,1.0,1.0
121,3,0,0,1.0,1.0,1.0
122,3,0,0,1.0,1.0,1.0
123,3,0,0,1.0,1.0,1.0
124,3,0,0,1.0,1.0,1.0
125,3,0,0,1.0,1.0,1.0
126,3,0,0,1.0,1.0,1.0
127,3,0,0,1.0,1.0,1.0
128,3,0,0,1.0,1.0,1.0
129,3,0,0,1.0,1.0,1.0
130,3,0,0,1.0,1.0,1.0
131,3,0,0,1.0,1.0,1.0
132,3,0,0,1.0,1.0,1.0
133,3,0,0,1.0,1.0,1.0
134,3,0,0,1.0,1.0,1.0
135,3,0,0,1.0,1.0,1.0
